customer_transaction_id,transaction_date,services_availed,S00001,S00002,S00003,S00004,S00005,S00006,S00007,S00008,S00009,S00010,S00011,S00012,S00013,S00014,S00015,S00016,S00017,S00018,S00019,S00020,S00021,S00022,S00023,S00024,S00025,Total_Service_Cost,Total_Item_Cost,Total_Transaction_Cost
CTID1,2025-03-03,"S00004, S00001",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8000,10750,18750
CTID2,2025-03-04,"S00004, S00001",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8000,5750,13750
CTID3,2025-03-04,"S00001, S00006",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15000,6000,21000
CTID4,2025-03-04,"S00021, S00002",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5250,8250,13500
CTID5,2025-03-05,"S00019, S00025, S00020",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,12500,8250,20750
CTID6,2025-03-05,"S00011, S00004, S00001",1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10250,10250,20500
CTID7,2025-03-05,"S00013, S00012, S00014",0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,13500,10000,23500
CTID8,2025-03-06,"S00011, S00003, S00001",1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13250,11000,24250
CTID9,2025-03-07,"S00013, S00012, S00014",0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,13500,6250,19750
CTID10,2025-03-07,S00018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6000,7000,13000
CTID11,2025-03-07,"S00013, S00012, S00014",0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,13500,7000,20500
CTID12,2025-03-07,"S00019, S00020",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,5000,10000,15000
CTID13,2025-03-07,"S00013, S00004, S00012, S00014",0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,16500,10750,27250
CTID14,2025-03-08,"S00003, S00018, S00001",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,17000,10750,27750
CTID15,2025-03-09,"S00001, S00006",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15000,6250,21250
CTID16,2025-03-09,"S00007, S00025, S00001",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14000,8500,22500
CTID17,2025-03-10,S00021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3000,8250,11250
CTID18,2025-03-10,"S00004, S00001",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8000,9000,17000
CTID19,2025-03-10,"S00011, S00004",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5250,8250,13500
CTID20,2025-03-10,S00007,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,9000,10500
CTID21,2025-03-10,S00005,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,5750,10750
CTID22,2025-03-11,S00019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4000,9000,13000
CTID23,2025-03-11,"S00011, S00004, S00001",1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10250,6250,16500
CTID24,2025-03-12,S00006,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,5750,15750
CTID25,2025-03-13,"S00013, S00012",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,12000,11000,23000
CTID26,2025-03-13,S00016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3000,9000,12000
CTID27,2025-03-14,"S00011, S00003, S00001",1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13250,9000,22250
CTID28,2025-03-14,"S00017, S00007, S00016",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,5500,9000,14500
CTID29,2025-03-14,"S00004, S00001",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8000,8250,16250
CTID30,2025-03-14,S00019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4000,7000,11000
CTID31,2025-03-14,"S00011, S00004",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5250,10250,15500
CTID32,2025-03-14,"S00025, S00011, S00004",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12750,9000,21750
CTID33,2025-03-14,"S00019, S00020",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,5000,10000,15000
CTID34,2025-03-15,"S00011, S00003, S00001",1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13250,10750,24000
CTID35,2025-03-15,"S00013, S00012, S00014",0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,13500,8250,21750
CTID36,2025-03-15,"S00011, S00003, S00020, S00001",1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14250,10250,24500
CTID37,2025-03-15,"S00013, S00012",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,12000,8250,20250
CTID38,2025-03-15,"S00013, S00012",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,12000,10000,22000
