customer_transaction_id,transaction_date,services_availed,Haircut,Hair Styling,Premium Bleach and Color,Premium Color,Hair Rebonding,Brazilian Blowout,Keratin Treatment,Traditional Hot Oil,Cellophane Hair Spa,Scalp Detox,Deep Hydration Hair Mask,Classic Manicure,Classic Pedicure,Callus-Removal Foot Spa,Gel Nail Extension,Eyebrow Threading,Eyebrow Tinting,Eyelash Extensions,Gluta IV Drip,Vitamin C Push,Underarm Waxing,Brazilian Waxing,Bikini Waxing,Leg Waxing,Full-Body Waxing
CTID1,2025-03-03,"Premium Color, Haircut",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CTID2,2025-03-04,"Premium Color, Haircut",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CTID3,2025-03-04,"Haircut, Brazilian Blowout",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CTID4,2025-03-04,"Underarm Waxing, Hair Styling",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CTID5,2025-03-05,"Gluta IV Drip, Full-Body Waxing, Vitamin C Push",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
CTID6,2025-03-05,"Deep Hydration Hair Mask, Premium Color, Haircut",1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CTID7,2025-03-05,"Classic Pedicure, Classic Manicure, Callus-Removal Foot Spa",0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
CTID8,2025-03-06,"Deep Hydration Hair Mask, Premium Bleach and Color, Haircut",1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CTID9,2025-03-07,"Classic Pedicure, Classic Manicure, Callus-Removal Foot Spa",0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
CTID10,2025-03-07,Eyelash Extensions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
CTID11,2025-03-07,"Classic Pedicure, Classic Manicure, Callus-Removal Foot Spa",0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
CTID12,2025-03-07,"Gluta IV Drip, Vitamin C Push",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
CTID13,2025-03-07,"Classic Pedicure, Premium Color, Classic Manicure, Callus-Removal Foot Spa",0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
CTID14,2025-03-08,"Premium Bleach and Color, Eyelash Extensions, Haircut",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
CTID15,2025-03-09,"Haircut, Brazilian Blowout",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CTID16,2025-03-09,"Keratin Treatment, Full-Body Waxing, Haircut",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CTID17,2025-03-10,Underarm Waxing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CTID18,2025-03-10,"Premium Color, Haircut",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CTID19,2025-03-10,"Deep Hydration Hair Mask, Premium Color",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CTID20,2025-03-10,Keratin Treatment,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CTID21,2025-03-10,Hair Rebonding,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CTID22,2025-03-11,Gluta IV Drip,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
CTID23,2025-03-11,"Deep Hydration Hair Mask, Premium Color, Haircut",1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CTID24,2025-03-12,Brazilian Blowout,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CTID25,2025-03-13,"Classic Pedicure, Classic Manicure",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
